Model,Mean_RMSLE,Std_RMSLE,Min_RMSLE,Max_RMSLE
XGBoost,0.12286324199604015,0.019026876087528153,0.10448801496439443,0.15599225684510418
Gradient Boosting,0.12504565290130723,0.02047211584967236,0.10551425534516484,0.16066487257471904
Lasso,0.12824570035365207,0.02525439157186313,0.10483573686390987,0.17704557873648286
ElasticNet,0.12838958612803272,0.025137011402637036,0.10547568883727101,0.17710723198651174
LightGBM,0.13097097118544215,0.018691099526824195,0.11511536638852535,0.16526545181485836
Kernel Ridge,0.1792680714021691,0.046166409046507026,0.14282729987065831,0.2700661245829791
