iter	RMSE
0	0.3851185719
75	0.1307489337
150	0.1073968432
225	0.09555836295
300	0.08847308285
375	0.08240807047
450	0.07711398805
525	0.07237723341
600	0.06849700335
675	0.06483972283
750	0.06142440525
825	0.05848349261
900	0.05550422159
975	0.05283294712
1050	0.05047572784
1125	0.0482461871
1200	0.04628743062
1275	0.04441611425
1350	0.0425493525
1425	0.04088910333
1500	0.03943530091
1575	0.0379052982
1650	0.03661259241
1725	0.03514701512
1800	0.03387418114
1875	0.03262445654
1950	0.03155942706
1999	0.03081693165
